Issue Type,Summary,Description,Epic Name,Epic Link,Sprint,Story Points,Priority,Labels,Status
Epic,Foundation & data layer,Epic: Foundation & data layer,Foundation & data layer,,,,High,epic:foundation,To Do
Epic,Dose entry,Epic: Dose entry,Dose entry,,,,High,epic:dose-entry,To Do
Epic,Stock & catalog,Epic: Stock & catalog,Stock & catalog,,,,High,epic:stock,To Do
Epic,Reports,Epic: Reports,Reports,,,,High,epic:reports,To Do
Epic,Backup & restore,Epic: Backup & restore,Backup & restore,,,,High,epic:backup,To Do
Epic,Corrections & reconciliation,Epic: Corrections & reconciliation,Corrections & reconciliation,,,,High,epic:corrections,To Do
Epic,Build & delivery,Epic: Build & delivery,Build & delivery,,,,High,epic:delivery,To Do
Epic,Documentation,Epic: Documentation,Documentation,,,,High,epic:docs,To Do
Story,"Write the SRS with numbered, traceable requirements","IEEE-830-shaped specification. Every request in the clinician's own words must map to a numbered FR/NFR, and every requirement must name the test or test-plan step that verifies it.",,Documentation,Sprint 0,5,High,epic:docs,Done
Story,Write the ERD and generate reference DDL,Mermaid entity diagram plus the reasoning behind the append-only ledger. docs/schema.sql must be GENERATED from the migrations (npm run schema:dump) so it cannot drift.,,Documentation,Sprint 0,3,High,epic:docs,Done
Story,Write the waterfall phase and Gantt diagrams,"Phase/artifact flowchart, phase gates, verification traceability, and a Gantt schedule. Must state plainly that waterfall and sprints are opposite models and why both are present.",,Documentation,Sprint 0,2,Medium,epic:docs,Done
Story,Write the test plan,"Three test layers, plus the 16-step on-phone acceptance script run in airplane mode.",,Documentation,Sprint 0,2,High,epic:docs,Done
Story,Scaffold the Expo SDK 57 project,"expo-router, TypeScript, portrait, light-only. No local Android toolchain: Expo Go for development, EAS cloud build for the APK. Requirements: C6 (see docs/SRS.md).",,Foundation & data layer,Sprint 0,2,Highest,epic:foundation,Done
Story,Set up the public repository and backlog,"Public repo, .gitignore covering *.db / backups/ / *.zip, GitHub milestones and labels, and a Jira import CSV generated from the same source as the issues. Requirements: NFR-44 (see docs/SRS.md).",,Documentation,Sprint 0,2,High,epic:docs,Done
Story,Define the Db driver interface and adapters,"One interface, three adapters (expo / node / web). Nothing outside src/db/driver.*.ts may import expo-sqlite. This is what makes the whole data layer testable with no device. Requirements: C4, NFR-50 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,3,Highest,epic:foundation,Done
Story,Write migration v1 with constraints and triggers,"Tables, CHECK constraints, indexes, the three views, and the append-only triggers. The constraints ARE the design: sign invariants, one-reversal-per-movement, no update of arithmetic, no delete. Requirements: FR-2, FR-4, FR-90, FR-91, FR-92, FR-93, C1, C2 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,8,Highest,epic:foundation,Done
Story,Build the forward-only migration runner,"PRAGMA user_version as the single source of truth; version bumped inside the same transaction as the DDL; pre-migration snapshot; downgrade guard that refuses to open data from a newer app. Requirements: FR-96, FR-97, NFR-21, C5 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,5,Highest,epic:foundation,Done
Story,Seed the Indian pediatric vaccine catalog,"IAP-schedule vaccines under their trade names, both unit modes, with default safety limits. Shipped as EDITABLE SUGGESTIONS with an explicit onboarding warning to check doses-per-vial against the fridge. Requirements: FR-1, FR-7 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,3,High,epic:foundation,Done
Story,Implement UUIDv7 ids and tap-derived idempotency keys,"Time-sortable client-generated ids so an offline row keeps its identity forever. The idempotency key is minted at the user's tap and reused across retries, which is what makes a double-decrement unrepresentable. Requirements: FR-26, NFR-52 (see docs/SRS.md).",,Foundation & data layer,Sprint 1,3,Highest,epic:foundation,Done
